roc_auc,pr_auc,accuracy,balanced_accuracy,precision,recall,specificity,f1,brier_score,log_loss,model,feature_set,repeat,fold,random_state,n_train,n_test,positive_rate_train,positive_rate_test
0.4928841389808166,0.48684764272255554,0.492,0.49021131556918385,0.48,0.3276036400404449,0.6528189910979229,0.3894230769230769,0.2501445085865855,0.6934362602310337,row_channel,row_channel_presence,0,0,42,8000,2000,0.494375,0.4945
0.4777948131723938,0.4805125691873945,0.484,0.4821663421273974,0.46776611694152925,0.3154701718907988,0.6488625123639961,0.37681159420289856,0.2503380643197279,0.6938238200793071,row_channel,row_channel_presence,0,1,42,8000,2000,0.494375,0.4945
0.4911904340425191,0.48848235460927625,0.497,0.49516791531775345,0.487256371814093,0.32861476238624876,0.6617210682492581,0.392512077294686,0.2502347601517546,0.6936171310294179,row_channel,row_channel_presence,0,2,42,8000,2000,0.494375,0.4945
0.4891061818480036,0.48422247719360706,0.491,0.4891781905610579,0.47832585949177875,0.3235591506572295,0.6547972304648862,0.38600723763570566,0.2501169955609169,0.6933811738151748,row_channel,row_channel_presence,0,3,42,8000,2000,0.494375,0.4945
0.5098454177401546,0.49799825655495694,0.5045,0.5005340769070746,0.49557522123893805,0.1700404858299595,0.8310276679841897,0.2532027128862095,0.2499305162894682,0.6930081801165057,row_channel,row_channel_presence,0,4,42,8000,2000,0.4945,0.494
0.4971406540191363,0.4912752568507579,0.4995,0.49580349222255893,0.4817073170731707,0.1597573306370071,0.8318496538081108,0.23993925588458617,0.25007012447246374,0.6932874884269125,row_channel,row_channel_presence,1,0,42,8000,2000,0.494375,0.4945
0.48945172365856265,0.4895707145397804,0.4935,0.4916949950944064,0.48214285714285715,0.3276036400404449,0.655786350148368,0.3901264298615292,0.25014741377743643,0.6934422554603045,row_channel,row_channel_presence,1,1,42,8000,2000,0.494375,0.4945
0.49240058047023694,0.4907128071152157,0.4925,0.4907058754109247,0.4807121661721068,0.3276036400404449,0.6538081107814046,0.3896572459410704,0.25014391906578676,0.6934353034622099,row_channel,row_channel_presence,1,2,42,8000,2000,0.494375,0.4945
0.4838520460975778,0.4833598609493543,0.4895,0.48767250837351317,0.47604790419161674,0.32153690596562184,0.6538081107814046,0.38382619191309597,0.25025969297230866,0.6936667960264099,row_channel,row_channel_presence,1,3,42,8000,2000,0.494375,0.4945
0.4895024883583236,0.4837275505364195,0.485,0.48316157526683845,0.4697406340057637,0.3299595141700405,0.6363636363636364,0.3876337693222354,0.2502397339923306,0.6936266959924255,row_channel,row_channel_presence,1,4,42,8000,2000,0.4945,0.494
0.48020310457565374,0.48019128267605277,0.4845,0.4825948939821718,0.46788990825688076,0.30940343781597573,0.655786350148368,0.3724893487522824,0.2502974069966603,0.6937420331086047,row_channel,row_channel_presence,2,0,42,8000,2000,0.494375,0.4945
0.5007600919711285,0.49360124062705313,0.498,0.49624504565052374,0.4889867841409692,0.3367037411526795,0.655786350148368,0.39880239520958083,0.24999427656867143,0.6931356834953387,row_channel,row_channel_presence,2,1,42,8000,2000,0.494375,0.4945
0.4795400243429455,0.48224937741394625,0.487,0.4852327131582922,0.4727540500736377,0.32457027300303337,0.645895153313551,0.38489208633093525,0.25066948321409444,0.6944879114941664,row_channel,row_channel_presence,2,2,42,8000,2000,0.494375,0.4945
0.4940542805679487,0.49274509000719485,0.4975,0.4956294711660111,0.48787878787878786,0.32558139534883723,0.6656775469831849,0.3905397210430564,0.25005455854349984,0.6932563562899804,row_channel,row_channel_presence,2,3,42,8000,2000,0.494375,0.4945
0.49695506152886015,0.49209502067391797,0.496,0.4939471283864877,0.4848024316109423,0.3228744939271255,0.6650197628458498,0.38760631834750914,0.25005729527641984,0.6932617738710364,row_channel,row_channel_presence,2,4,42,8000,2000,0.4945,0.494
0.48969175270207693,0.4843902932150317,0.4885,0.486760398008159,0.47514619883040937,0.32861476238624876,0.6449060336300693,0.38852361028093246,0.2502673735654464,0.6936819890726553,row_channel,row_channel_presence,3,0,42,8000,2000,0.494375,0.4945
0.48734046819665183,0.4865987022459203,0.484,0.4821773434585585,0.4678624813153961,0.31648129423660265,0.6478733926805144,0.3775633293124246,0.2502877701897033,0.6937229441515472,row_channel,row_channel_presence,3,1,42,8000,2000,0.494375,0.4945
0.49703864167564277,0.48962705445737054,0.496,0.4923305719992119,0.47147147147147145,0.15874620829120323,0.8259149357072205,0.23751891074130105,0.24999846348133192,0.6931440601742668,row_channel,row_channel_presence,3,2,42,8000,2000,0.494375,0.4945
0.476797692520795,0.47977056459854683,0.48,0.4782208647246317,0.4623338257016248,0.31648129423660265,0.6399604352126608,0.375750300120048,0.25055777649534117,0.6942632198275738,row_channel,row_channel_presence,3,3,42,8000,2000,0.494375,0.4945
0.5131218895520955,0.5025426310789991,0.506,0.5,0.0,0.0,1.0,0.0,0.24985576640126259,0.6928586295737182,row_channel,row_channel_presence,3,4,42,8000,2000,0.4945,0.494
0.4802126057252928,0.4788431300152586,0.4815,0.47966053892521,0.46396396396396394,0.31243680485338726,0.6468842729970327,0.37341389728096674,0.25038754188567225,0.6939224467985289,row_channel,row_channel_presence,4,0,42,8000,2000,0.494375,0.4945
0.4943853206237955,0.48809248481492484,0.4945,0.4926071054597606,0.48323170731707316,0.320525783619818,0.6646884272997032,0.38541033434650457,0.25013628995101306,0.6934197775770125,row_channel,row_channel_presence,4,1,42,8000,2000,0.494375,0.4945
0.49569597921348485,0.49136628601363885,0.502,0.4983753034117129,0.4897360703812317,0.16885743174924167,0.827893175074184,0.2511278195488722,0.2501112052146158,0.6933696416106078,row_channel,row_channel_presence,4,2,42,8000,2000,0.494375,0.4945
0.5056051782265654,0.4966745584114322,0.5055,0.5036414406143144,0.5,0.3346814964610718,0.6726013847675568,0.40096910963052695,0.24993241640107847,0.6930119455544018,row_channel,row_channel_presence,4,3,42,8000,2000,0.494375,0.4945
0.477453753340481,0.4782752800667324,0.488,0.4859459762205758,0.4726443768996961,0.3147773279352227,0.6571146245059288,0.3778857837181045,0.2504564641715509,0.6940605437146633,row_channel,row_channel_presence,4,4,42,8000,2000,0.4945,0.494
0.506936339297055,0.4981154604032235,0.504,0.5004415534279647,0.49575070821529743,0.1769464105156724,0.8239366963402571,0.2608047690014903,0.24990312262443484,0.6929533633910429,row_channel,row_channel_presence,5,0,42,8000,2000,0.494375,0.4945
0.4863733511754923,0.48759356970219686,0.485,0.4849266761278115,0.47922998986828774,0.4782608695652174,0.49159248269040556,0.47874493927125505,0.250303260142891,0.6937541607194602,row_channel,row_channel_presence,5,1,42,8000,2000,0.494375,0.4945
0.49582149440082246,0.49378253513957515,0.499,0.49730017332097187,0.4905933429811867,0.34277047522750254,0.6518298714144412,0.4035714285714286,0.2501707099818949,0.6934890492905821,row_channel,row_channel_presence,5,2,42,8000,2000,0.494375,0.4945
0.5151578340979259,0.5030188933498847,0.508,0.5042220108633144,0.5079872204472844,0.16076845298281092,0.847675568743818,0.24423963133640553,0.2498741106806226,0.6928953547401085,row_channel,row_channel_presence,5,3,42,8000,2000,0.494375,0.4945
0.49745463346721924,0.4918566297671957,0.4965,0.49456121681522136,0.4859675036927622,0.33299595141700405,0.6561264822134387,0.3951951951951952,0.25005543845378203,0.6932580277086665,row_channel,row_channel_presence,5,4,42,8000,2000,0.4945,0.494
