model,model_display_name,model_role,feature_set,oof_roc_auc,roc_auc_ci_95,oof_pr_auc,pr_auc_baseline,pr_auc_improvement_over_baseline,holdout_roc_auc,holdout_pr_auc,accuracy,balanced_accuracy,precision,recall,specificity,f1,brier_score,main_interpretation
user_any_channel,User Any-Channel,diagnostic baseline,channel_presence_only,0.7581,"[0.7353, 0.7806]",0.9377,0.8363,0.1014,0.6501,0.9016,0.8364,0.5,0.8364,1.0,0.0,0.9109,0.1353,Shows diagnostic performance of channel presence alone without journey length controls.
journey_length_only,Journey Length Only,confounding control,journey_length_only,0.7698,"[0.7474, 0.7922]",0.942,0.8363,0.1057,0.6857,0.9076,0.8364,0.5,0.8364,1.0,0.0,0.9109,0.1322,"Controls for confounding journey length, demonstrating strong predictive power from sequence count alone."
channel_plus_length,Channel + Length,adjusted diagnostic,channel_presence_plus_length,0.7845,"[0.7626, 0.8059]",0.9466,0.8363,0.1103,0.6829,0.9158,0.8248,0.5332,0.846,0.9665,0.1,0.9022,0.1318,"Combines channel presence with journey length, showing negligible incremental performance from channels."
enhanced_journey_logistic,Enhanced Journey Logistic,enhanced diagnostic,full_enhanced_features,0.7608,"[0.7378, 0.7838]",0.9378,0.8363,0.1015,0.6822,0.9187,0.8131,0.5607,0.8546,0.9358,0.1857,0.8933,0.1326,Uses detailed journey structure and position features but fails to outperform the baseline control.
enhanced_journey_logistic_balanced,Enhanced Journey Logistic (Balanced),enhanced diagnostic,full_enhanced_features_balanced,0.759,"[0.7358, 0.7819]",0.9369,0.8363,0.1006,0.6824,0.918,0.6519,0.6195,0.8885,0.6676,0.5714,0.7624,0.2199,Enhanced model with class-balancing adjustment to address high prevalence of conversions.
random_forest,Random Forest,nonlinear robustness benchmark,full_enhanced_features,0.7241,"[0.6989, 0.7477]",0.926,0.8363,0.0897,0.6535,0.9031,0.8084,0.5522,0.852,0.933,0.1714,0.8907,0.1466,Nonlinear baseline checking if complex feature interactions can recover additional predictive signal.
extra_trees,Extra Trees,nonlinear robustness benchmark,full_enhanced_features,0.696,"[0.6694, 0.7222]",0.9047,0.8363,0.0684,0.6305,0.8972,0.7944,0.5381,0.8479,0.919,0.1571,0.882,0.157,Extremely randomized trees robustness check on enhanced feature space.
gradient_boosting,Gradient Boosting,nonlinear robustness benchmark,full_enhanced_features,0.7418,"[0.7184, 0.7650]",0.9338,0.8363,0.0974,0.6407,0.9004,0.7804,0.5239,0.8438,0.905,0.1429,0.8733,0.1566,Gradient boosted trees checking for non-linear decision boundaries on enhanced features.
