model,feature_set,n_raw_features,n_encoded_features,n_folds,mean_roc_auc,std_roc_auc,median_roc_auc,min_roc_auc,max_roc_auc,ci_lower_95,ci_upper_95,mean_pr_auc,std_pr_auc,positive_prevalence,pr_auc_baseline,pr_auc_improvement_over_baseline,analysis_level,mean_accuracy,mean_balanced_accuracy,mean_precision,mean_recall,mean_specificity,mean_f1,mean_brier_score,mean_log_loss
row_channel,row_channel_presence,5,5,50,0.4916757526784314,0.01045653112229888,0.4926423597255268,0.46121041429965914,0.5151578340979259,0.4887773501252392,0.49457415523162357,0.48838530786099177,0.006569707701185934,0.4944,0.4944,-0.0060146921390082375,touchpoint,0.49461,0.49204065849310424,0.4616133409058139,0.26328186979855334,0.7207994471876552,0.32557725290281164,0.25017366060476987,0.6934946935850832
user_any_channel,channel_presence_only,6,6,50,0.7636802089844656,0.024166708625857878,0.7620740042756979,0.7131263948062487,0.8195875124243246,0.7569815391135306,0.7703788788554007,0.9382605040858114,0.007763592625172302,0.8363189322093432,0.8363189322093432,0.10194157187646824,user,0.8363191810809977,0.5,0.8363191810809977,1.0,0.0,0.910864596475902,0.12422366662667324,0.4053252230888691
journey_length_only,journey_length_only,1,1,50,0.7834709976547478,0.022396889748061817,0.7810156320592753,0.7266743310565587,0.8295608566007048,0.7772628965483578,0.7896790987611378,0.9353930598383886,0.006568101392888853,0.8363189322093432,0.8363189322093432,0.09907412762904544,user,0.8363191810809977,0.5,0.8363191810809977,1.0,0.0,0.910864596475902,0.1223356006284972,0.39889198662799413
channel_plus_length,channel_presence_plus_length,7,7,50,0.7871374048267487,0.023351125399167054,0.7850253004427579,0.7327156736773294,0.8418157585614892,0.780664803092458,0.7936100065610393,0.9467228400916491,0.006685151514773364,0.8363189322093432,0.8363189322093432,0.11040390788230592,user,0.8337558042734251,0.5266638254694098,0.8440078392847437,0.9832018216091468,0.07012582932967285,0.9081428139019859,0.11566919494842645,0.36974991905567095
enhanced_journey_logistic,full_enhanced_features,51,88,50,0.7796736266583315,0.02320672229314879,0.7773165717900063,0.7206555307590001,0.8274939007861208,0.7732410514229129,0.7861062018937501,0.9444857515096062,0.0067602037340856146,0.8363189322093432,0.8363189322093432,0.10816681930026306,user,0.8348440785619586,0.5878863417957971,0.8624235706230248,0.9550199954195514,0.22075268817204308,0.9062413361228099,0.11796189013920232,0.3805544027914343
enhanced_journey_logistic_balanced,full_enhanced_features_balanced,51,88,50,0.7780982562999113,0.023586780068137123,0.7745764126980339,0.7180857059128513,0.8314696846480527,0.7715603344239573,0.7846361781758652,0.9441253969345189,0.00684135236342554,0.8363189322093432,0.8363189322093432,0.10780646472517574,user,0.6996547960410693,0.709027335037562,0.9277132025368701,0.695091961312827,0.7229627087622972,0.7945176242444759,0.19713057574391882,0.573664333413774
random_forest,full_enhanced_features,51,88,50,0.7117248290194206,0.026995922621960645,0.7129607934457242,0.6513153445594102,0.7624582090900877,0.7042419410388733,0.7192077169999679,0.9171850142815385,0.011211242160270292,0.8363189322093432,0.8363189322093432,0.08086608207219537,user,0.8190746461936916,0.5687204085304972,0.8568999850553872,0.9409091309479766,0.19653168611301766,0.8968511625845974,0.13207433581975642,0.49604492475554723
extra_trees,full_enhanced_features,51,88,50,0.6797382352066568,0.03136686267689739,0.6826658082587874,0.6140552995391705,0.7295337489834643,0.6710437844557313,0.6884326859575822,0.8969417986110129,0.01289340103268927,0.8363189322093432,0.8363189322093432,0.060622866401669695,user,0.8053758825887214,0.5574422539376145,0.8537211843266104,0.9260398499022251,0.18884465797300387,0.8883201414255406,0.14164739668332782,0.7184592440117039
gradient_boosting,full_enhanced_features,51,88,50,0.7364003271883395,0.024671771078070504,0.7384679678322942,0.666069295101553,0.7863355019427126,0.7295616611481306,0.7432389932285484,0.9320918074752075,0.007949510735393576,0.8363189322093432,0.8363189322093432,0.09577287526586431,user,0.8164048345820615,0.5578981017606579,0.8535799203219905,0.9422112115286366,0.17358499199267904,0.8956178186450799,0.13190319572980916,0.4620197786345887
