comparison_id,model_a,model_b,reference_model,analysis_level,pairing_key,n_paired_users,expected_repeats,mean_fold_auc_model_a,mean_fold_auc_model_b,mean_fold_auc_difference,oof_auc_model_a,oof_auc_model_b,paired_oof_delta_auc,paired_oof_ci_lower,paired_oof_ci_upper,relative_auc_improvement_pct,probability_delta_above_zero,bootstrap_two_sided_p_value,bootstrap_iterations,comparison_method,bootstrap_unit,dependency_correction,practical_significance,interpretation
channel_plus_length_vs_journey_length_only,channel_plus_length,journey_length_only,journey_length_only,user,user_id,2847,10,0.787089483310767,0.7834709976547478,0.003618485656019188,0.784535296418535,0.7697517723465275,0.014783524072007559,0.007824732935906012,0.021461739492579845,1.9205573281034682,1.0,0.0,5000,paired_percentile_bootstrap_on_aggregated_oof_predictions,user,aggregate_repeated_oof_by_user_before_bootstrap,small_improvement,"channel_plus_length achieved a paired OOF ROC-AUC difference of 0.0148 relative to journey_length_only, with a 95% user-level bootstrap confidence interval of [0.0078, 0.0215]. The comparison shows a small practical improvement."
enhanced_journey_logistic_vs_journey_length_only,enhanced_journey_logistic,journey_length_only,journey_length_only,user,user_id,2847,10,0.7599471870709295,0.7834709976547478,-0.02352381058381836,0.7608120798957411,0.7697517723465275,-0.008939692450786407,-0.017894525912654745,-0.0003516850074707629,-1.161373415683664,0.019,0.038,5000,paired_percentile_bootstrap_on_aggregated_oof_predictions,user,aggregate_repeated_oof_by_user_before_bootstrap,very_small_degradation,"enhanced_journey_logistic achieved a paired OOF ROC-AUC difference of -0.0089 relative to journey_length_only, with a 95% user-level bootstrap confidence interval of [-0.0179, -0.0004]. The comparison shows a very small practical degradation."
gradient_boosting_vs_channel_plus_length,gradient_boosting,channel_plus_length,channel_plus_length,user,user_id,2847,10,0.7364003271883395,0.787089483310767,-0.050689156122427526,0.7417898852323384,0.784535296418535,-0.04274541118619668,-0.054035213996137414,-0.031609353305522274,-5.448500708805942,0.0,0.0,5000,paired_percentile_bootstrap_on_aggregated_oof_predictions,user,aggregate_repeated_oof_by_user_before_bootstrap,meaningful_degradation,"gradient_boosting achieved a paired OOF ROC-AUC difference of -0.0427 relative to channel_plus_length, with a 95% user-level bootstrap confidence interval of [-0.0540, -0.0316]. The comparison shows a potentially meaningful degradation, requiring domain interpretation."
