,START,Direct Traffic,Display Ads,Email,Referral,Search Ads,Social Media,CONVERSION,NULL
START,0.0,0.172111,0.172813,0.15771,0.170706,0.161925,0.164735,0.0,0.0
Direct Traffic,0.0,0.126671,0.11563,0.117955,0.109239,0.119117,0.114468,0.246949,0.049971
Display Ads,0.0,0.115039,0.131815,0.124026,0.124026,0.115039,0.109646,0.240264,0.040144
Email,0.0,0.117291,0.114873,0.118501,0.116082,0.128779,0.117291,0.237606,0.049577
Referral,0.0,0.131157,0.127003,0.115134,0.112166,0.113947,0.130564,0.227893,0.042136
Search Ads,0.0,0.124922,0.104413,0.122436,0.126787,0.101927,0.121193,0.245494,0.052828
Social Media,0.0,0.123345,0.111913,0.12515,0.131769,0.109507,0.122744,0.230445,0.045126
CONVERSION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
