channel,baseline_conversion_probability,probability_without_channel,absolute_removal_effect,relative_removal_effect,positive_absolute_effect,positive_normalized_share_pct
Direct Traffic,0.836319,0.836429,-0.00011,-0.000132,0.0,0.0
Display Ads,0.836319,0.835871,0.000448,0.000535,0.000448,76.056414
Email,0.836319,0.836506,-0.000187,-0.000224,0.0,0.0
Referral,0.836319,0.836178,0.000141,0.000168,0.000141,23.943586
Search Ads,0.836319,0.836556,-0.000237,-0.000283,0.0,0.0
Social Media,0.836319,0.83632,-1e-06,-1e-06,0.0,0.0
